datetime,casual,registered,count
2011-01-05 22:00:00,1,41,42
2011-01-05 23:00:00,1,18,19
2011-01-06 00:00:00,0,11,11
2011-01-06 01:00:00,0,4,4
2011-01-06 02:00:00,0,2,2
2011-01-06 04:00:00,0,1,1
2011-01-06 05:00:00,0,4,4
2011-01-06 06:00:00,0,36,36
2011-01-06 07:00:00,0,95,95
2011-01-06 08:00:00,3,216,219
2011-01-06 09:00:00,6,116,122
2011-01-06 10:00:00,3,42,45
2011-01-06 11:00:00,2,57,59
2011-01-06 12:00:00,6,78,84
2011-01-06 13:00:00,12,55,67
2011-01-06 14:00:00,11,59,70
2011-01-06 15:00:00,8,54,62
2011-01-06 16:00:00,12,74,86
2011-01-06 17:00:00,9,163,172
2011-01-06 18:00:00,5,158,163
2011-01-06 19:00:00,3,109,112
2011-01-06 20:00:00,3,66,69
2011-01-06 21:00:00,0,48,48
2011-01-06 22:00:00,1,51,52
2011-01-06 23:00:00,4,19,23
2011-01-07 00:00:00,4,13,17
2011-01-07 01:00:00,2,5,7
2011-01-07 02:00:00,0,1,1
2011-01-07 04:00:00,0,1,1
2011-01-07 05:00:00,0,5,5
2011-01-07 06:00:00,8,26,34
2011-01-07 07:00:00,8,76,84
2011-01-07 08:00:00,20,190,210
2011-01-07 09:00:00,9,125,134
2011-01-07 10:00:00,16,47,63
2011-01-07 11:00:00,19,48,67
2011-01-07 12:00:00,9,50,59
2011-01-07 13:00:00,9,64,73
2011-01-07 14:00:00,7,43,50
2011-01-07 15:00:00,9,63,72
2011-01-07 16:00:00,5,82,87
2011-01-07 17:00:00,9,178,187
2011-01-07 18:00:00,7,116,123
2011-01-07 19:00:00,3,92,95
2011-01-07 20:00:00,1,50,51
2011-01-07 21:00:00,0,39,39
2011-01-07 22:00:00,2,34,36
2011-01-07 23:00:00,1,14,15
2011-01-08 00:00:00,1,24,25
2011-01-08 01:00:00,1,15,16
2011-01-08 02:00:00,3,13,16
2011-01-08 03:00:00,0,7,7
2011-01-08 04:00:00,0,1,1
2011-01-08 05:00:00,0,5,5
2011-01-08 06:00:00,0,2,2
2011-01-08 07:00:00,1,8,9
2011-01-08 08:00:00,0,15,15
2011-01-08 09:00:00,0,20,20
2011-01-08 10:00:00,5,56,61
2011-01-08 11:00:00,2,60,62
2011-01-08 12:00:00,8,90,98
2011-01-08 13:00:00,7,95,102
2011-01-08 14:00:00,12,83,95
2011-01-08 15:00:00,5,69,74
2011-01-08 16:00:00,8,68,76
2011-01-08 17:00:00,5,64,69
2011-01-08 18:00:00,3,52,55
2011-01-08 19:00:00,4,26,30
2011-01-08 20:00:00,0,28,28
2011-01-08 21:00:00,2,35,37
2011-01-08 22:00:00,1,33,34
2011-01-08 23:00:00,0,22,22
2011-01-09 00:00:00,1,24,25
2011-01-09 01:00:00,0,12,12
2011-01-09 02:00:00,0,11,11
2011-01-09 03:00:00,0,4,4
2011-01-09 04:00:00,0,1,1
2011-01-09 05:00:00,0,1,1
2011-01-09 06:00:00,0,1,1
2011-01-09 07:00:00,1,5,6
2011-01-09 08:00:00,0,10,10
2011-01-09 09:00:00,0,19,19
2011-01-09 10:00:00,0,49,49
2011-01-09 11:00:00,2,47,49
2011-01-09 12:00:00,4,79,83
2011-01-09 13:00:00,6,69,75
2011-01-09 14:00:00,8,64,72
2011-01-09 15:00:00,5,77,82
2011-01-09 16:00:00,13,79,92
2011-01-09 17:00:00,3,59,62
2011-01-09 18:00:00,4,44,48
2011-01-09 19:00:00,1,40,41
2011-01-09 20:00:00,0,38,38
2011-01-09 21:00:00,1,19,20
2011-01-09 22:00:00,5,10,15
2011-01-09 23:00:00,0,6,6
2011-01-10 00:00:00,2,3,5
2011-01-10 01:00:00,1,0,1
2011-01-10 02:00:00,0,3,3
2011-01-10 03:00:00,0,1,1
2011-01-10 04:00:00,1,2,3
2011-01-10 05:00:00,0,3,3
2011-01-10 06:00:00,0,31,31
2011-01-10 07:00:00,2,75,77
2011-01-10 08:00:00,4,184,188
2011-01-10 09:00:00,2,92,94
2011-01-10 10:00:00,0,31,31
2011-01-10 11:00:00,2,28,30
2011-01-10 12:00:00,5,47,52
2011-01-10 13:00:00,4,50,54
2011-01-10 14:00:00,0,47,47
2011-01-10 15:00:00,2,43,45
2011-01-10 16:00:00,4,70,74
2011-01-10 17:00:00,4,174,178
2011-01-10 18:00:00,1,154,155
2011-01-10 19:00:00,3,92,95
2011-01-10 20:00:00,1,73,74
2011-01-10 21:00:00,1,37,38
2011-01-10 22:00:00,2,22,24
2011-01-10 23:00:00,0,18,18
2011-01-11 00:00:00,2,10,12
2011-01-11 01:00:00,0,3,3
2011-01-11 02:00:00,0,3,3
2011-01-11 05:00:00,0,6,6
2011-01-11 06:00:00,0,27,27
2011-01-11 07:00:00,2,97,99
2011-01-11 08:00:00,3,214,217
2011-01-11 09:00:00,3,127,130
2011-01-11 10:00:00,3,51,54
2011-01-11 11:00:00,4,31,35
2011-01-11 12:00:00,2,55,57
2011-01-11 13:00:00,6,46,52
2011-01-11 14:00:00,3,60,63
2011-01-11 15:00:00,2,45,47
2011-01-11 16:00:00,4,72,76
2011-01-11 17:00:00,6,130,136
2011-01-11 18:00:00,1,94,95
2011-01-11 19:00:00,0,51,51
2011-01-11 20:00:00,0,32,32
2011-01-11 21:00:00,0,20,20
2011-01-11 22:00:00,1,28,29
2011-01-11 23:00:00,1,18,19
2011-01-12 00:00:00,0,7,7
2011-01-12 01:00:00,0,6,6
2011-01-12 02:00:00,0,1,1
2011-01-12 05:00:00,0,5,5
2011-01-12 06:00:00,0,16,16
2011-01-12 07:00:00,0,54,54
2011-01-12 08:00:00,3,125,128
2011-01-12 09:00:00,3,78,81
2011-01-12 10:00:00,0,39,39
2011-01-12 11:00:00,3,32,35
2011-01-12 12:00:00,3,52,55
2011-01-12 13:00:00,0,49,49
2011-01-12 14:00:00,0,44,44
2011-01-12 15:00:00,1,48,49
2011-01-12 16:00:00,5,63,68
2011-01-12 17:00:00,0,139,139
2011-01-12 18:00:00,2,135,137
2011-01-12 19:00:00,1,82,83
2011-01-12 20:00:00,2,54,56
2011-01-12 21:00:00,0,57,57
2011-01-12 22:00:00,1,32,33
2011-01-12 23:00:00,1,19,20
2011-01-13 00:00:00,1,6,7
2011-01-13 01:00:00,0,2,2
2011-01-13 02:00:00,0,2,2
2011-01-13 03:00:00,0,3,3
2011-01-13 04:00:00,0,4,4
2011-01-13 05:00:00,0,3,3
2011-01-13 06:00:00,0,28,28
2011-01-13 07:00:00,0,72,72
2011-01-13 08:00:00,5,197,202
2011-01-13 09:00:00,2,137,139
2011-01-13 10:00:00,2,36,38
2011-01-13 11:00:00,4,33,37
2011-01-13 12:00:00,3,49,52
2011-01-13 13:00:00,2,81,83
2011-01-13 14:00:00,3,39,42
2011-01-13 15:00:00,5,55,60
2011-01-13 16:00:00,2,76,78
2011-01-13 17:00:00,4,158,162
2011-01-13 18:00:00,3,141,144
2011-01-13 19:00:00,1,98,99
2011-01-13 20:00:00,0,64,64
2011-01-13 21:00:00,0,40,40
2011-01-13 22:00:00,0,30,30
2011-01-13 23:00:00,1,14,15
2011-01-14 00:00:00,0,14,14
2011-01-14 01:00:00,0,5,5
2011-01-14 02:00:00,0,1,1
2011-01-14 03:00:00,0,1,1
2011-01-14 05:00:00,0,8,8
2011-01-14 06:00:00,0,17,17
2011-01-14 07:00:00,0,70,70
2011-01-14 08:00:00,2,156,158
2011-01-14 09:00:00,0,117,117
2011-01-14 10:00:00,4,40,44
2011-01-14 11:00:00,6,47,53
2011-01-14 12:00:00,2,59,61
2011-01-14 13:00:00,4,73,77
2011-01-14 14:00:00,5,59,64
2011-01-14 15:00:00,9,59,68
2011-01-14 16:00:00,3,87,90
2011-01-14 17:00:00,4,155,159
2011-01-14 18:00:00,5,134,139
2011-01-14 19:00:00,3,89,92
2011-01-14 20:00:00,0,68,68
2011-01-14 21:00:00,4,48,52
2011-01-14 22:00:00,2,34,36
2011-01-14 23:00:00,1,26,27
2011-01-15 00:00:00,3,25,28
2011-01-15 01:00:00,2,18,20
2011-01-15 02:00:00,0,12,12
2011-01-15 03:00:00,1,7,8
2011-01-15 04:00:00,0,5,5
2011-01-15 05:00:00,0,1,1
2011-01-15 06:00:00,1,2,3
2011-01-15 07:00:00,1,9,10
2011-01-15 08:00:00,1,22,23
2011-01-15 09:00:00,2,31,33
2011-01-15 10:00:00,2,57,59
2011-01-15 11:00:00,18,54,72
2011-01-15 12:00:00,15,74,89
2011-01-15 13:00:00,21,80,101
2011-01-15 14:00:00,26,92,118
2011-01-15 15:00:00,21,108,129
2011-01-15 16:00:00,33,95,128
2011-01-15 17:00:00,29,54,83
2011-01-15 18:00:00,15,69,84
2011-01-15 19:00:00,14,60,74
2011-01-15 20:00:00,6,35,41
2011-01-15 21:00:00,6,51,57
2011-01-15 22:00:00,0,26,26
2011-01-15 23:00:00,5,39,44
2011-01-16 00:00:00,6,33,39
2011-01-16 01:00:00,4,19,23
2011-01-16 02:00:00,3,13,16
2011-01-16 03:00:00,9,6,15
2011-01-16 04:00:00,0,1,1
2011-01-16 05:00:00,1,1,2
2011-01-16 06:00:00,0,1,1
2011-01-16 07:00:00,0,3,3
2011-01-16 08:00:00,0,18,18
2011-01-16 09:00:00,3,29,32
2011-01-16 10:00:00,8,71,79
2011-01-16 11:00:00,23,70,93
2011-01-16 12:00:00,29,75,104
2011-01-16 13:00:00,23,95,118
2011-01-16 14:00:00,22,69,91
2011-01-16 15:00:00,35,78,113
2011-01-16 16:00:00,22,77,99
2011-01-16 17:00:00,23,82,105
2011-01-16 18:00:00,11,56,67
2011-01-16 19:00:00,14,47,61
2011-01-16 20:00:00,7,50,57
2011-01-16 21:00:00,6,22,28
2011-01-16 22:00:00,2,19,21
2011-01-16 23:00:00,0,18,18
2011-01-17 00:00:00,1,16,17
2011-01-17 01:00:00,1,15,16
2011-01-17 02:00:00,0,8,8
2011-01-17 03:00:00,0,2,2
2011-01-17 04:00:00,1,2,3
2011-01-17 05:00:00,0,1,1
2011-01-17 06:00:00,0,5,5
2011-01-17 07:00:00,4,9,13
2011-01-17 08:00:00,3,30,33
2011-01-17 09:00:00,8,39,47
2011-01-17 10:00:00,7,50,57
2011-01-17 11:00:00,9,55,64
2011-01-17 12:00:00,10,70,80
2011-01-17 13:00:00,13,80,93
2011-01-17 14:00:00,12,74,86
2011-01-17 15:00:00,21,72,93
2011-01-17 16:00:00,6,76,82
2011-01-17 17:00:00,4,67,71
2011-01-17 18:00:00,7,85,92
2011-01-17 19:00:00,2,58,60
2011-01-17 20:00:00,4,29,33
2011-01-17 21:00:00,3,24,27
2011-01-17 22:00:00,0,13,13
2011-01-17 23:00:00,1,3,4
2011-01-18 12:00:00,0,3,3
2011-01-18 13:00:00,0,22,22
2011-01-18 14:00:00,2,26,28
2011-01-18 15:00:00,3,32,35
2011-01-18 16:00:00,0,61,61
2011-01-18 17:00:00,1,124,125
2011-01-18 18:00:00,1,132,133
2011-01-18 19:00:00,1,98,99
2011-01-18 20:00:00,0,83,83
2011-01-18 21:00:00,0,41,41
2011-01-18 22:00:00,0,33,33
2011-01-18 23:00:00,1,19,20
2011-01-19 00:00:00,0,3,3
2011-01-19 01:00:00,1,6,7
2011-01-19 02:00:00,0,3,3
2011-01-19 04:00:00,1,1,2
2011-01-19 05:00:00,0,7,7
2011-01-19 06:00:00,0,32,32
2011-01-19 07:00:00,1,89,90
2011-01-19 08:00:00,1,196,197
2011-01-19 09:00:00,2,107,109
2011-01-19 10:00:00,1,46,47
2011-01-19 11:00:00,5,47,52
2011-01-19 12:00:00,5,65,70
2011-01-19 13:00:00,11,67,78
2011-01-19 14:00:00,7,68,75
2011-01-19 15:00:00,4,78,82
2011-01-19 16:00:00,10,94,104
2011-01-19 17:00:00,7,190,197
2011-01-19 18:00:00,5,156,161
2011-01-19 19:00:00,4,108,112
2011-01-19 20:00:00,2,74,76
2011-01-19 21:00:00,4,55,59
2011-01-19 22:00:00,6,53,59
2011-01-19 23:00:00,1,27,28
2011-02-01 00:00:00,2,6,8
2011-02-01 01:00:00,0,3,3
2011-02-01 02:00:00,0,2,2
2011-02-01 03:00:00,0,2,2
2011-02-01 05:00:00,0,3,3
2011-02-01 06:00:00,0,22,22
2011-02-01 07:00:00,0,52,52
2011-02-01 08:00:00,3,132,135
2011-02-01 09:00:00,2,114,116
2011-02-01 10:00:00,0,47,47
2011-02-01 11:00:00,2,49,51
2011-02-01 12:00:00,2,53,55
2011-02-01 13:00:00,3,49,52
2011-02-01 14:00:00,5,49,54
2011-02-01 15:00:00,7,45,52
2011-02-01 16:00:00,3,61,64
2011-02-01 17:00:00,4,172,176
2011-02-01 18:00:00,3,165,168
2011-02-01 19:00:00,3,105,108
2011-02-01 20:00:00,5,69,74
2011-02-01 21:00:00,0,64,64
2011-02-01 22:00:00,2,34,36
2011-02-01 23:00:00,1,15,16
2011-02-02 00:00:00,0,2,2
2011-02-02 01:00:00,0,3,3
2011-02-02 02:00:00,4,0,4
2011-02-02 03:00:00,0,1,1
2011-02-02 04:00:00,0,1,1
2011-02-02 05:00:00,0,3,3
2011-02-02 06:00:00,1,17,18
2011-02-02 07:00:00,1,48,49
2011-02-02 08:00:00,1,154,155
2011-02-02 09:00:00,4,119,123
2011-02-02 10:00:00,2,59,61
2011-02-02 11:00:00,5,47,52
2011-02-02 12:00:00,3,61,64
2011-02-02 13:00:00,1,74,75
2011-02-02 14:00:00,2,61,63
2011-02-02 15:00:00,10,66,76
2011-02-02 16:00:00,8,95,103
2011-02-02 17:00:00,7,183,190
2011-02-02 18:00:00,7,175,182
2011-02-02 19:00:00,3,88,91
2011-02-02 20:00:00,4,71,75
2011-02-02 21:00:00,1,62,63
2011-02-02 22:00:00,5,35,40
2011-02-02 23:00:00,3,29,32
2011-02-03 00:00:00,1,11,12
2011-02-03 01:00:00,0,5,5
2011-02-03 02:00:00,0,2,2
2011-02-03 03:00:00,0,1,1
2011-02-03 05:00:00,0,2,2
2011-02-03 06:00:00,0,39,39
2011-02-03 07:00:00,1,86,87
2011-02-03 08:00:00,4,184,188
2011-02-03 09:00:00,6,127,133
2011-02-03 10:00:00,2,50,52
2011-02-03 11:00:00,9,55,64
2011-02-03 12:00:00,2,67,69
2011-02-03 13:00:00,4,47,51
2011-02-03 14:00:00,4,43,47
2011-02-03 15:00:00,4,56,60
2011-02-03 16:00:00,5,73,78
2011-02-03 17:00:00,5,170,175
2011-02-03 18:00:00,2,145,147
2011-02-03 19:00:00,4,92,96
2011-02-03 20:00:00,1,108,109
2011-02-03 21:00:00,1,53,54
2011-02-03 22:00:00,2,39,41
2011-02-03 23:00:00,4,34,38
2011-02-04 00:00:00,3,10,13
2011-02-04 01:00:00,0,7,7
2011-02-04 02:00:00,0,1,1
2011-02-04 03:00:00,0,1,1
2011-02-04 05:00:00,0,7,7
2011-02-04 06:00:00,2,26,28
2011-02-04 07:00:00,0,87,87
2011-02-04 08:00:00,3,217,220
2011-02-04 09:00:00,3,124,127
2011-02-04 10:00:00,5,46,51
2011-02-04 11:00:00,3,61,64
2011-02-04 12:00:00,8,78,86
2011-02-04 13:00:00,9,73,82
2011-02-04 14:00:00,15,76,91
2011-02-04 15:00:00,9,81,90
2011-02-04 16:00:00,8,91,99
2011-02-04 17:00:00,10,195,205
2011-02-04 18:00:00,3,152,155
2011-02-04 19:00:00,1,102,103
2011-02-04 20:00:00,2,69,71
2011-02-04 21:00:00,2,41,43
2011-02-04 22:00:00,1,45,46
2011-02-04 23:00:00,1,30,31
2011-02-05 00:00:00,3,36,39
2011-02-05 01:00:00,1,17,18
2011-02-05 02:00:00,5,12,17
2011-02-05 03:00:00,1,10,11
2011-02-05 04:00:00,0,8,8
2011-02-05 05:00:00,0,9,9
2011-02-05 06:00:00,0,4,4
2011-02-05 07:00:00,0,4,4
2011-02-05 08:00:00,0,10,10
2011-02-05 09:00:00,3,17,20
2011-02-05 10:00:00,3,31,34
2011-02-05 11:00:00,1,46,47
2011-02-05 12:00:00,10,42,52
2011-02-05 13:00:00,10,62,72
2011-02-05 14:00:00,5,50,55
2011-02-05 15:00:00,11,49,60
2011-02-05 16:00:00,8,63,71
2011-02-05 17:00:00,14,64,78
2011-02-05 18:00:00,2,81,83
2011-02-05 19:00:00,6,78,84
2011-02-05 20:00:00,5,64,69
2011-02-05 21:00:00,3,53,56
2011-02-05 22:00:00,2,43,45
2011-02-05 23:00:00,7,52,59
2011-02-06 00:00:00,2,37,39
2011-02-06 01:00:00,4,40,44
2011-02-06 02:00:00,0,20,20
2011-02-06 03:00:00,3,10,13
2011-02-06 04:00:00,0,2,2
2011-02-06 05:00:00,0,1,1
2011-02-06 06:00:00,0,1,1
2011-02-06 07:00:00,0,8,8
2011-02-06 08:00:00,2,21,23
2011-02-06 09:00:00,7,38,45
2011-02-06 10:00:00,15,74,89
2011-02-06 11:00:00,28,89,117
2011-02-06 12:00:00,48,126,174
2011-02-06 13:00:00,47,135,182
2011-02-06 14:00:00,47,114,161
2011-02-06 15:00:00,52,130,182
2011-02-06 16:00:00,42,115,157
2011-02-06 17:00:00,24,97,121
2011-02-06 18:00:00,13,65,78
2011-02-06 19:00:00,1,20,21
2011-02-06 20:00:00,5,21,26
2011-02-06 21:00:00,5,22,27
2011-02-06 22:00:00,5,57,62
2011-02-06 23:00:00,4,26,30
2011-02-07 00:00:00,1,14,15
2011-02-07 01:00:00,1,4,5
2011-02-07 02:00:00,0,3,3
2011-02-07 03:00:00,0,1,1
2011-02-07 04:00:00,1,1,2
2011-02-07 05:00:00,1,9,10
2011-02-07 06:00:00,1,29,30
2011-02-07 07:00:00,6,89,95
2011-02-07 08:00:00,7,223,230
2011-02-07 09:00:00,3,115,118
2011-02-07 10:00:00,6,49,55
2011-02-07 11:00:00,11,36,47
2011-02-07 12:00:00,7,59,66
2011-02-07 13:00:00,10,54,64
2011-02-07 14:00:00,8,52,60
2011-02-07 15:00:00,4,46,50
2011-02-07 16:00:00,16,98,114
2011-02-07 17:00:00,9,207,216
2011-02-07 18:00:00,5,170,175
2011-02-07 19:00:00,5,123,128
2011-02-07 20:00:00,6,82,88
2011-02-07 21:00:00,3,75,78
2011-02-07 22:00:00,3,34,37
2011-02-07 23:00:00,6,19,25
2011-02-08 00:00:00,4,6,10
2011-02-08 01:00:00,0,4,4
2011-02-08 02:00:00,1,1,2
2011-02-08 03:00:00,0,1,1
2011-02-08 04:00:00,0,3,3
2011-02-08 05:00:00,0,2,2
2011-02-08 06:00:00,0,39,39
2011-02-08 07:00:00,3,97,100
2011-02-08 08:00:00,7,236,243
2011-02-08 09:00:00,7,128,135
2011-02-08 10:00:00,4,44,48
2011-02-08 11:00:00,1,49,50
2011-02-08 12:00:00,2,63,65
2011-02-08 13:00:00,2,48,50
2011-02-08 14:00:00,3,61,64
2011-02-08 15:00:00,6,45,51
2011-02-08 16:00:00,4,79,83
2011-02-08 17:00:00,4,172,176
2011-02-08 18:00:00,1,151,152
2011-02-08 19:00:00,1,100,101
2011-02-08 20:00:00,3,53,56
2011-02-08 21:00:00,8,46,54
2011-02-08 22:00:00,0,29,29
2011-02-08 23:00:00,3,9,12
2011-02-09 00:00:00,0,17,17
2011-02-09 01:00:00,0,7,7
2011-02-09 02:00:00,1,2,3
2011-02-09 03:00:00,0,2,2
2011-02-09 05:00:00,0,7,7
2011-02-09 06:00:00,0,43,43
2011-02-09 07:00:00,4,95,99
2011-02-09 08:00:00,1,198,199
2011-02-09 09:00:00,4,119,123
2011-02-09 10:00:00,8,51,59
2011-02-09 11:00:00,1,40,41
2011-02-09 12:00:00,4,57,61
2011-02-09 13:00:00,2,67,69
2011-02-09 14:00:00,2,56,58
2011-02-09 15:00:00,3,61,64
2011-02-09 16:00:00,7,72,79
2011-02-09 17:00:00,9,157,166
2011-02-09 18:00:00,2,168,170
2011-02-09 19:00:00,1,87,88
2011-02-09 20:00:00,0,84,84
2011-02-09 21:00:00,0,83,83
2011-02-09 22:00:00,4,42,46
2011-02-09 23:00:00,0,37,37
2011-02-10 00:00:00,0,16,16
2011-02-10 01:00:00,0,7,7
2011-02-10 02:00:00,0,3,3
2011-02-10 04:00:00,0,1,1
2011-02-10 05:00:00,0,6,6
2011-02-10 06:00:00,0,26,26
2011-02-10 07:00:00,0,99,99
2011-02-10 08:00:00,5,173,178
2011-02-10 09:00:00,1,121,122
2011-02-10 10:00:00,1,34,35
2011-02-10 11:00:00,1,44,45
2011-02-10 12:00:00,4,65,69
2011-02-10 13:00:00,3,59,62
2011-02-10 14:00:00,6,42,48
2011-02-10 15:00:00,0,50,50
2011-02-10 16:00:00,4,76,80
2011-02-10 17:00:00,6,159,165
2011-02-10 18:00:00,3,157,160
2011-02-10 19:00:00,2,110,112
2011-02-10 20:00:00,4,93,97
2011-02-10 21:00:00,2,70,72
2011-02-10 22:00:00,4,47,51
2011-02-10 23:00:00,1,33,34
2011-02-11 00:00:00,2,12,14
2011-02-11 01:00:00,1,6,7
2011-02-11 02:00:00,0,3,3
2011-02-11 05:00:00,0,4,4
2011-02-11 06:00:00,1,23,24
2011-02-11 07:00:00,1,73,74
2011-02-11 08:00:00,4,212,216
2011-02-11 09:00:00,8,132,140
2011-02-11 10:00:00,5,39,44
2011-02-11 11:00:00,12,52,64
2011-02-11 12:00:00,7,64,71
2011-02-11 13:00:00,21,89,110
2011-02-11 14:00:00,17,67,84
2011-02-11 15:00:00,12,62,74
2011-02-11 16:00:00,14,111,125
2011-02-11 17:00:00,18,193,211
2011-02-11 18:00:00,9,165,174
2011-02-11 19:00:00,7,94,101
2011-02-11 20:00:00,2,61,63
2011-02-11 21:00:00,1,46,47
2011-02-11 22:00:00,2,41,43
2011-02-11 23:00:00,5,48,53
2011-02-12 00:00:00,3,27,30
2011-02-12 01:00:00,2,22,24
2011-02-12 02:00:00,2,13,15
2011-02-12 03:00:00,3,7,10
2011-02-12 04:00:00,0,4,4
2011-02-12 05:00:00,0,1,1
2011-02-12 06:00:00,1,1,2
2011-02-12 07:00:00,2,9,11
2011-02-12 08:00:00,2,28,30
2011-02-12 09:00:00,5,38,43
2011-02-12 10:00:00,13,71,84
2011-02-12 11:00:00,30,84,114
2011-02-12 12:00:00,27,93,120
2011-02-12 13:00:00,32,103,135
2011-02-12 14:00:00,30,90,120
2011-02-12 15:00:00,47,127,174
2011-02-12 16:00:00,42,103,145
2011-02-12 17:00:00,24,113,137
2011-02-12 18:00:00,4,60,64
2011-02-12 19:00:00,2,39,41
2011-02-12 20:00:00,1,39,40
2011-02-12 21:00:00,9,42,51
2011-02-12 22:00:00,6,39,45
2011-02-12 23:00:00,1,31,32
2011-02-13 00:00:00,5,34,39
2011-02-13 01:00:00,1,23,24
2011-02-13 02:00:00,1,19,20
2011-02-13 03:00:00,4,8,12
2011-02-13 04:00:00,0,2,2
2011-02-13 06:00:00,2,3,5
2011-02-13 07:00:00,0,3,3
2011-02-13 08:00:00,1,11,12
2011-02-13 09:00:00,12,35,47
2011-02-13 10:00:00,19,86,105
2011-02-13 11:00:00,26,86,112
2011-02-13 12:00:00,58,94,152
2011-02-13 13:00:00,62,92,154
2011-02-13 14:00:00,51,110,161
2011-02-13 15:00:00,40,122,162
2011-02-13 16:00:00,28,106,134
2011-02-13 17:00:00,30,95,125
2011-02-13 18:00:00,17,78,95
2011-02-13 19:00:00,11,50,61
2011-02-13 20:00:00,15,32,47
2011-02-13 21:00:00,6,45,51
2011-02-13 22:00:00,5,31,36
2011-02-13 23:00:00,3,27,30
