"YEAR","MONTH","DAY","X1HR","X2HR","X3HR","X4HR","X5HR","X6HR","X7HR","X8HR","X9HR","X10HR","X11HR","X12HR","X13HR","X14HR","X15HR","X16HR","X17HR","X18HR","X19HR","X20HR","X21HR","X22HR","X23HR","X24HR"
2008,3,11,41133,38950,37360,36161,35923,36201,37228,38507,39641,41830,42168,42048,38781,40222,41217,40990,41038,40885,41952,42909,42805,41959,44268,43838
2008,3,12,41716,39218,37579,36391,36012,36311,37318,38712,39701,41606,41687,41585,38479,39874,40634,40335,40188,40098,41177,42540,42505,41949,43975,43384
2008,3,13,41288,38962,37352,36196,35862,36136,36819,37726,38113,40053,40274,40133,37387,37943,38167,37335,36439,35272,36415,38264,38981,38991,41687,41422
2008,3,14,39393,37036,35286,34129,33655,33558,33166,32635,31001,31233,31641,31722,31086,31300,31259,31030,31047,31337,33285,35394,36297,36720,39184,38957
2008,3,15,37106,34812,33181,32250,32230,32781,34364,36336,38629,41306,41619,41501,38263,39747,40428,40167,40047,39681,40774,42099,42143,41468,43685,42998
2008,3,16,40298,37763,36273,35268,34992,35390,36417,37715,38946,40866,41032,40988,37885,39323,40315,39906,39785,39425,40463,42030,42020,41183,43034,41986
2008,3,17,39024,36484,34956,34178,34226,34778,35776,37531,39154,41349,41901,42255,39482,40950,41878,41858,42118,42023,42311,42602,42744,42244,44567,44229
2008,3,18,41898,39458,37802,36737,36420,36805,37902,39336,40399,42405,42699,42679,39559,40891,41632,41326,41252,40947,41794,43441,43433,42759,44818,44341
2008,3,19,41902,39749,38199,37080,36776,37142,38029,39221,40265,42369,42628,42689,39375,40815,41588,41282,41263,40858,41583,42985,42935,42233,44387,43829
2008,3,20,41557,39310,37693,36478,36042,36274,36975,37798,38111,39852,40071,39883,37090,37578,37666,36843,35996,35064,36252,38335,38967,39022,41587,41305
2008,3,21,39080,36932,35109,33840,33486,33390,33044,32428,30753,31032,31549,31662,30979,31085,31108,31008,31051,31692,33725,35430,36179,36414,38721,38301
2008,3,22,36294,33862,32102,31338,31348,32065,33509,35681,38001,40753,41223,41205,38121,39651,40436,40187,40191,39739,40654,42329,42335,41622,43685,42868
2008,3,23,40056,37582,36046,35183,35044,35537,36696,37826,39115,41180,41450,41325,38088,39572,40345,40141,40167,39757,40716,42393,42344,41734,43684,42915
2008,3,24,40065,37503,35694,34865,34737,35311,36262,37622,39111,41222,41442,41472,38440,39904,40712,40425,40268,39743,40343,41806,42101,41669,43755,43027
2008,3,25,40252,37709,36119,35014,34885,35309,36265,37767,39418,41689,41926,41766,38630,40074,40826,40507,40321,39863,40514,42472,42514,41855,43833,43111
2008,3,26,40504,38005,36366,35302,35261,35753,36685,37771,38801,40845,41093,40962,37888,39351,40115,39827,39689,39291,39931,41786,42060,41451,43433,42526
2008,3,27,39954,37484,35965,34985,34933,35284,35801,36531,37279,38978,39189,39155,36473,37129,37340,36688,35755,34693,35523,37893,38655,38660,40967,40397
2008,3,28,37898,35611,33947,32933,32696,32828,32592,31881,30314,30627,31230,31202,30522,30857,30744,30565,30626,30828,32247,34679,35657,35864,38162,37254
2008,3,29,35013,32532,31018,30398,30500,31402,32744,34614,37178,39784,40298,40398,37341,38891,39941,39752,39715,39495,40304,41632,41626,40985,42609,41147
2008,3,30,37912,35522,34000,33237,33252,33879,35045,36532,38130,40047,40442,40454,37444,39087,39967,39786,39658,39250,39895,41868,42187,41569,43162,42102
2008,3,31,39230,36758,35222,34394,34423,35094,36236,37330,38626,40651,40903,40874,37846,39376,40434,40102,39751,39120,39473,41473,41819,41374,43029,42015
2008,4,1,39182,36774,35276,34449,34342,34885,35823,36781,38044,40141,40520,40567,37473,39198,40220,40260,40946,41260,41994,42410,42264,41522,43240,42165
2008,4,2,39620,36928,35504,34429,34412,34886,35817,37256,38636,40915,41254,41273,38080,39645,40486,40254,40205,39896,40307,42010,42114,41452,43489,42735
2008,4,3,40169,37687,36059,34898,34657,35024,35685,36385,36813,38536,38917,38970,36518,37213,37408,36707,36034,35120,35575,37597,38331,38265,40810,40421
2008,4,4,38420,36179,34449,33206,32716,32701,32199,31398,29225,29240,29773,29906,29444,29605,29667,29575,29526,29690,31110,33900,34935,35168,37637,37485
2008,4,5,35624,33321,31647,30676,30557,30843,31030,31395,31920,33287,34182,34453,32913,33516,33897,33561,33415,33216,34090,36890,37886,37921,39963,39193
2008,4,6,36776,34374,32849,32092,32082,32734,33958,35544,37408,40178,40806,41085,38087,39732,40822,40763,41155,41090,41674,42568,42405,41601,43132,42142
2008,4,7,39479,36838,35241,34256,34236,34697,35757,37080,38558,40780,41128,41281,38241,39836,40591,40272,40330,39763,39887,41863,42122,41611,43447,42221
2008,4,8,38481,37105,35589,34690,34648,35171,36141,36945,38527,40613,41030,41082,38116,39320,40201,40013,39994,39595,39855,42112,42309,41586,43276,42013
2008,4,9,39133,36706,35153,34290,34259,34898,35798,36710,38042,40125,40528,40553,37587,38993,39687,39412,39417,38874,39261,41459,41723,41073,42511,41185
2008,4,10,38424,35975,34537,33746,33792,34170,34920,35583,36606,38356,38691,38638,36132,37016,37209,36563,35759,34755,35427,37646,38344,38202,39924,38553
2008,4,11,35815,33488,32010,31155,31103,31216,31066,30590,29837,30312,30910,30938,30372,30730,30821,30743,30773,30674,31697,34304,35553,35551,36994,35582
2008,4,12,33029,30838,29580,29106,29432,30378,31796,33491,35973,38717,39432,39675,36754,38584,39597,39501,39678,39354,39624,41523,41480,40630,41777,39892
2008,4,13,36539,34380,33091,32494,32612,33181,34437,35610,37426,39401,39688,39616,37277,38824,39451,39473,39345,39048,39538,41405,41568,40784,41669,39299
2008,4,14,35938,33799,32682,32007,32218,32972,34183,35231,37207,39300,39782,39526,36854,38718,39635,39538,39323,38595,38404,40436,40635,40186,41381,39647
2008,4,15,36682,34297,33039,32370,32320,32805,33029,32707,32796,34476,35691,35940,34189,34934,35394,35028,34679,34402,34921,37530,38522,38351,39718,38081
2008,4,16,35206,32948,31719,31072,31220,31969,33215,34509,36618,38957,39518,39780,36895,38474,39507,39326,39386,38836,38887,40849,41120,40069,41151,39235
2008,4,17,36219,33909,32594,32002,31963,32450,33266,34005,35253,37162,37729,37920,35610,36504,36750,36282,35538,34230,34364,36886,37606,37295,38695,36881
2008,4,18,33993,31867,30633,29837,29785,30040,29975,29309,28625,29355,30084,30342,29897,30251,30408,30314,30436,30901,32326,34067,34906,34771,36115,34465
2008,4,19,31845,29706,28483,27828,28056,28952,30660,32897,35708,38585,39458,39777,37244,38991,39914,39958,40085,39818,40058,41098,41140,40305,41682,39909
2008,4,20,36659,34297,32909,32144,32211,32798,33915,35071,36966,39133,39636,39788,37002,38735,39532,39317,39534,39066,39005,40942,41250,40281,41144,39113
2008,4,21,36011,33662,32543,31970,31993,32638,33714,34792,36558,38826,39319,39670,37024,38948,40230,40184,40224,39349,38845,40735,41156,40300,40926,38460
2008,4,22,35594,33503,32392,31817,31700,32332,33700,35019,37051,39520,40511,40873,38244,40017,41089,40991,41080,40481,40471,41520,41781,40816,41690,39842
2008,4,23,36630,34233,33060,32413,32461,33092,34224,35306,36953,39115,39714,39826,37024,38599,39675,39434,39503,38832,38691,40669,41042,40443,41533,39825
2008,4,24,37024,34793,33417,32702,32720,33148,33937,34571,35555,37342,37766,37901,35699,36529,36992,36395,35728,34432,34523,36804,37989,37874,39618,38336
2008,4,25,35546,33392,31986,31176,31091,31227,31100,30594,29806,30374,30878,31125,30546,31026,30971,30887,30758,30647,31392,33912,35371,35533,36895,35540
2008,4,26,32961,30746,29443,28920,29110,29800,31435,33377,36463,39184,39944,40277,37727,39753,40972,41210,41621,41450,41461,41856,41878,41078,42562,41609
2008,4,27,38539,36176,34694,33651,33622,34043,35293,36685,38236,40381,41029,41304,38509,40050,41003,40820,40808,40344,40173,41364,42022,41332,43065,42000
2008,4,28,39257,36863,35320,34400,34252,34577,35538,36563,37880,39842,40193,40330,37427,39103,39907,39255,39371,38672,38151,40144,41178,40778,42107,40789
2008,4,29,37766,35381,34017,33258,33397,33788,34758,35685,37223,39356,39889,40106,37202,38947,39953,39796,39689,39015,38787,40742,41563,40674,41911,40120
2008,4,30,36915,34582,33350,32632,32608,32980,34101,35452,37214,39343,39777,39928,37191,38741,39736,39462,39205,38348,38191,39750,40449,39864,41060,39212
2008,5,1,36095,33609,32622,31715,31509,31387,31573,31477,30803,31524,32028,32179,31469,31904,31956,31663,31405,31263,31890,33952,35270,35029,36621,34858
2008,5,2,32286,30269,28884,28116,27984,28059,28182,28236,28003,28818,29687,29964,29781,30120,30286,30366,30529,30893,32419,34027,35059,34960,36389,34775
2008,5,3,32061,29974,28655,28079,28185,28858,30622,32921,35806,38917,39880,40100,38054,39905,40828,40806,40902,40542,40670,41376,41310,40498,41886,40300
2008,5,4,36746,34533,33124,32373,32358,32811,33950,35297,36834,39009,39505,39494,36660,38579,39472,39339,39235,38639,38386,40034,40859,40026,41360,39535
2008,5,5,36462,34256,32955,32176,32140,32263,32435,32552,32936,34453,35159,35354,33755,34526,34984,34720,34472,33698,33603,35938,37687,37695,39034,37288
2008,5,6,34357,32068,30862,30207,30420,31050,32403,33952,36659,39226,39894,40141,37406,39432,40281,40217,40249,39483,39102,40645,41594,40570,41514,39384
2008,5,7,36160,34039,32926,32294,32320,32785,33927,35133,36960,39288,39849,39814,37276,39116,40014,39793,39880,39317,38863,40431,41161,40303,41019,38982
2008,5,8,35775,33723,32548,31876,31788,32174,33105,34009,35596,37487,38135,38169,36017,36735,36990,36424,36015,35274,35414,36694,37701,37335,38971,37457
2008,5,9,34776,32611,31323,30518,30274,30255,30384,30163,29846,30636,31467,31685,31394,31819,31763,31843,32014,32184,33062,34497,35656,35792,37244,35865
2008,5,10,32954,30748,29314,28616,28839,29516,31179,33261,36315,39033,39766,39978,37394,39274,40069,39868,39921,39670,39846,40872,41467,40606,41871,39942
2008,5,11,36633,34176,32934,32322,32267,32666,33989,35244,37316,39633,40162,40345,37604,39548,40564,40368,40323,39659,39406,40772,41700,40782,41531,39209
2008,5,12,35829,33785,32719,32038,31961,32347,33617,35110,37164,39442,40187,40476,37970,39801,40892,40797,40864,40439,40177,40811,41262,40829,41871,40012
2008,5,13,36889,34307,33078,32257,32159,32614,33873,35418,37277,39499,40180,40281,37504,39052,39985,39882,39834,39164,38894,40367,41603,40937,41766,39740
2008,5,14,36291,34134,32871,32149,32187,32588,33885,35251,37246,39526,40035,40235,37612,39404,40501,40257,40271,39441,39112,40376,41281,40402,41021,38580
2008,5,15,35551,33409,32240,31563,31420,31740,32784,34019,35648,37880,38508,39052,36781,37435,37765,37273,36452,35640,35709,36895,38027,37790,39351,37850
2008,5,16,34972,32776,31397,30477,30302,30206,30173,29770,29308,30029,30919,31084,30670,31066,31076,30909,30870,30815,31635,33770,35323,35338,36588,34739
2008,5,17,32076,30072,28764,28177,28463,29169,30893,33055,35977,38949,39680,40084,37243,39123,40036,39914,39913,39281,38968,40222,41447,40700,41627,39668
2008,5,18,36381,34119,32896,32320,32205,32504,33646,35094,37012,39380,40014,40264,37519,39366,40422,40502,40562,39952,39420,40482,41559,40683,41309,39117
2008,5,19,35803,33681,32505,31909,31835,32161,33532,35076,37341,39805,40340,40603,37860,39588,40635,40376,40438,39604,38879,40215,41503,40834,41291,38952
2008,5,20,35688,33715,32537,31839,31870,32201,33484,35023,37466,39765,40202,40721,38011,39989,41215,41047,41162,40701,40780,41607,41913,40659,40972,38790
2008,5,21,35524,33454,32269,31640,31638,31991,33487,35058,37358,39755,40406,40617,37825,39587,40449,40292,40354,39585,38872,39941,41321,40619,41136,38755
2008,5,22,35575,33567,32398,31801,31645,31911,32810,33777,35436,37616,38341,38483,36295,37416,37653,37038,36278,35032,34489,36153,37918,37699,38516,36655
2008,5,23,33698,31783,30512,29730,29507,29380,29557,29444,29543,30458,31298,31576,31019,31403,31535,31432,31353,31198,31490,33271,35384,35393,36195,34170
2008,5,24,31529,29581,28496,28000,28122,28750,30529,32701,36169,39162,40065,40399,37795,39580,40601,40547,40562,39884,39202,40256,41530,40638,40866,38523
2008,5,25,35215,33238,32174,31464,31447,31775,33117,34633,37056,39498,40400,40737,38012,39978,40984,41027,41046,40203,39414,40435,41592,40659,40629,38119
2008,5,26,35053,33139,32006,31408,31112,31070,31729,32180,33360,35196,35956,36317,34786,35783,36367,36238,35863,35278,35373,36854,38555,38340,38819,36603
2008,5,27,33631,31604,30592,30061,29980,30367,31995,33872,36903,39822,40569,41097,38376,40391,41683,41684,41855,41497,41499,42297,42367,41282,41108,38394
2008,5,28,35284,33370,32274,31656,31497,31887,33383,35258,37983,40623,41315,41784,39300,41230,42248,42198,42333,41765,41324,41899,42249,41168,41482,39148
2008,5,29,35783,33720,32462,31763,31525,31706,32806,34335,36359,38839,39777,40072,38083,39216,39637,38965,38099,36638,36241,37491,39283,38770,39122,36683
2008,5,30,33672,31965,30753,29850,29439,29198,29442,29571,29965,31068,32305,32845,32398,32875,33038,32811,32713,32854,33354,34593,35648,35373,35578,33278
2008,5,31,31014,29214,28097,27573,27700,28232,29991,32481,36300,39526,40553,40932,38367,40416,41263,41020,41094,40193,39325,39664,41197,40451,40589,38030
2008,6,1,34753,32833,31871,31120,31029,31243,32601,34380,36985,39759,40778,41144,38631,40722,41816,41714,41750,40693,39908,40504,41720,40741,40551,37933
2008,6,2,34708,32913,31870,31344,31121,31422,32889,34559,37292,40338,41299,41860,39464,41620,42777,42600,42773,41592,40320,40753,42201,41358,40936,38246
2008,6,3,34966,32965,31907,31368,31158,31321,32834,34646,37868,41160,42379,43076,40698,42944,44090,44142,44212,43353,42356,42710,43784,42398,41512,38690
2008,6,4,35414,33319,32206,31533,31316,31451,32829,34867,38231,41700,43094,43880,41627,43823,44964,44828,44746,43515,42281,42965,43744,42381,41465,38530
2008,6,5,35307,33504,32321,31502,31256,31453,32572,34079,36825,39660,40974,41534,39820,40781,41119,40204,39179,37659,37211,38344,39914,39187,38986,36503
2008,6,6,33669,31768,30552,29793,29306,28962,29224,29359,29754,31156,32437,32850,32736,33259,33414,33117,32914,32882,33335,34680,36077,35616,35445,33001
2008,6,7,30487,28803,27854,27381,27369,27862,29959,32817,36960,40544,41631,42137,39706,41713,42679,42524,42659,41680,41040,41361,42096,41102,40877,38413
2008,6,8,35140,33273,32185,31494,31203,31361,33014,35186,38089,40578,41423,41961,39306,41253,42235,42129,42227,41534,40856,41245,42096,41232,40973,38319
2008,6,9,35087,33214,32192,31505,31337,31584,33016,34938,37993,40966,41957,42447,40075,42128,43276,43113,43044,41830,40667,41048,42435,41494,41040,38348
2008,6,10,35060,33160,32207,31582,31383,31544,33080,35049,38106,41385,42602,43276,41113,43448,44682,44662,44687,43645,42523,42849,43885,42577,41790,39017
2008,6,11,35614,33640,32624,31829,31788,31992,33406,35426,38862,42313,43542,44243,41971,44255,45438,45157,45335,44083,42919,43147,44049,42586,41806,39022
2008,6,12,35821,33666,32521,31817,31450,31557,32762,34440,37178,40441,41743,42168,40116,41202,41559,40790,39796,38108,37528,38350,39908,39234,39058,36624
2008,6,13,33713,31836,30698,29894,29459,29261,29510,29670,30238,31769,33002,33570,33519,34222,34408,34038,34052,33736,33719,34782,36705,36284,35854,33489
2008,6,14,30910,29222,28175,27629,27601,28150,30166,32988,37325,41483,42949,43831,41594,43859,45010,44879,44831,43570,42331,42383,43574,42250,41369,38522
2008,6,15,35302,33302,32266,31554,31267,31365,32960,35132,38708,42164,43369,44260,41888,44345,45708,45421,45534,44502,43347,43320,44292,43064,41989,39046
2008,6,16,35665,33547,32435,31658,31407,31465,33027,35181,38912,42619,43960,44526,42269,44532,45516,45164,44985,43805,42476,43033,43889,42788,41777,38980
2008,6,17,35699,33647,32619,31842,31542,31700,33169,35138,38278,41345,42251,42503,40048,41653,42506,42468,42486,41868,41205,41412,42133,41150,40938,38639
2008,6,18,35622,33841,32380,31557,31273,31374,32886,34941,37995,41020,41750,42420,40089,42336,43526,43541,43696,42916,42564,43093,43367,42040,41408,38949
2008,6,19,35607,33977,32605,31767,31476,31407,32595,33968,36185,38852,39637,39662,37874,38819,39261,38648,37943,37040,37283,38271,39075,38621,39063,37224
2008,6,20,34307,32385,31040,30068,29609,29228,29529,29706,29986,31305,32637,33297,33095,33635,33597,33430,33458,33440,34077,35530,36868,36434,36457,34219
2008,6,21,31392,29394,28265,27695,27683,28162,30113,32958,36697,40298,41434,42137,39914,42017,43252,43070,43200,42549,41747,42029,42608,41576,41170,38574
